Time	   Frame       x-pixel	  y-pixel
171.733333 2576.000000 764.000000 1018.000000
171.800000 2577.000000 768.000000 1017.000000
171.866667 2578.000000 768.000000 1013.000000
171.933333 2579.000000 767.000000 1009.000000
172.000000 2580.000000 767.000000 1008.000000
172.066667 2581.000000 764.000000 1004.000000
172.133333 2582.000000 760.000000 1002.000000
172.200000 2583.000000 755.000000 1000.000000
172.266667 2584.000000 754.000000 996.000000
172.333333 2585.000000 755.000000 993.000000
172.400000 2586.000000 753.000000 991.000000
172.466667 2587.000000 753.000000 987.000000
172.533333 2588.000000 751.000000 984.000000
172.600000 2589.000000 746.000000 981.000000
172.666667 2590.000000 742.000000 979.000000
172.733333 2591.000000 739.000000 979.000000
172.800000 2592.000000 734.000000 979.000000
172.866667 2593.000000 730.000000 976.000000
172.933333 2594.000000 729.000000 978.000000
173.000000 2595.000000 727.000000 978.000000
173.066667 2596.000000 722.000000 980.000000
173.133333 2597.000000 716.000000 983.000000
173.200000 2598.000000 710.000000 987.000000
173.266667 2599.000000 704.000000 990.000000
173.333333 2600.000000 696.000000 992.000000
173.400000 2601.000000 694.000000 993.000000
173.466667 2602.000000 692.000000 994.000000
173.533333 2603.000000 684.000000 995.000000
173.600000 2604.000000 675.000000 993.000000
173.666667 2605.000000 665.000000 993.000000
173.733333 2606.000000 653.000000 994.000000
173.800000 2607.000000 640.000000 990.000000
173.866667 2608.000000 629.000000 989.000000
173.933333 2609.000000 621.000000 987.000000
174.000000 2610.000000 611.000000 982.000000
174.066667 2611.000000 602.000000 979.000000
174.133333 2612.000000 592.000000 976.000000
174.200000 2613.000000 581.000000 972.000000
174.266667 2614.000000 570.000000 969.000000
174.333333 2615.000000 562.000000 967.000000
174.400000 2616.000000 557.000000 964.000000
174.466667 2617.000000 552.000000 960.000000
174.533333 2618.000000 550.000000 958.000000
174.600000 2619.000000 549.000000 955.000000
174.666667 2620.000000 546.000000 953.000000
174.733333 2621.000000 543.000000 949.000000
174.800000 2622.000000 543.000000 947.000000
174.866667 2623.000000 546.000000 945.000000
174.933333 2624.000000 549.000000 941.000000
175.000000 2625.000000 558.000000 936.000000
175.200000 2628.000000 562.000000 930.000000
175.266667 2629.000000 567.000000 928.000000
175.333333 2630.000000 574.000000 926.000000
175.400000 2631.000000 581.000000 924.000000
175.466667 2632.000000 590.000000 921.000000
175.533333 2633.000000 597.000000 918.000000
175.600000 2634.000000 599.000000 916.000000
175.666667 2635.000000 604.000000 913.000000
175.733333 2636.000000 610.000000 912.000000
