2671,2358,816,91,175
2672,2247,777,199,235
2673,2211,777,202,214
2674,2181,789,175,202
2675,2142,840,184,172
2676,2028,852,256,139
2677,1956,843,256,148
2678,1854,807,310,193
2679,1764,789,292,208
2680,1701,771,286,241
2681,1620,777,319,250
2682,1572,795,247,238
2683,1488,852,238,163
2684,1317,861,319,163
2685,1175,849,361,178
2686,1019,795,388,238
2687,950,831,322,217
2688,800,801,343,247
2689,701,858,322,184
2690,497,855,367,214
2691,257,876,445,193
2692,14,885,511,214
2693,5,855,301,250
2694,8,945,70,91
