2119,1005,1013,26,27
2120,1003,1012,38,35
2123,1011,1004,20,17
2124,1010,998,24,20
2125,1007,993,25,21
2126,1006,990,22,20
2127,1006,989,24,21
2128,1008,990,25,22
2129,1004,989,26,22
2130,1002,988,26,23
2131,1002,991,22,17
2132,1001,992,21,16
2133,995,991,26,21
2134,994,993,27,20
2135,993,996,26,20
2136,991,998,24,18
2137,991,1000,19,17
2138,988,1002,23,20
2139,989,1007,23,18
2140,986,1007,23,21
2141,980,1007,29,22
2142,989,1007,24,19
2143,989,1010,22,18
2144,985,1012,25,18
2145,984,1014,26,20
2146,985,1017,23,20
2147,982,1014,26,21
2148,986,1019,21,16
2149,983,1019,26,21
2150,982,1021,26,20
2151,983,1023,24,19
2152,983,1028,23,18
2153,984,1028,22,19
2154,983,1031,22,18
2155,985,1034,23,19
2156,986,1038,24,19
2157,986,1040,24,19
2158,987,1044,28,22
2159,989,1048,22,18
2160,983,1048,23,20
2161,978,1050,23,18
2162,975,1056,22,19
2163,969,1059,24,19
2164,962,1063,26,18
2165,957,1062,30,21
2166,952,1063,28,21
2167,944,1068,25,21
2168,936,1071,24,20
2169,924,1076,33,23
2170,914,1077,31,25
2171,900,1075,36,24
2172,896,1077,32,23
2173,891,1080,27,24
2174,881,1082,29,22
2175,876,1081,26,22
2176,871,1082,26,21
2177,862,1080,29,23
2178,858,1078,28,25
2179,858,1078,28,24
2180,856,1080,28,22
2181,854,1076,32,25
2182,856,1075,29,21
2183,857,1072,31,22
2184,858,1068,29,22
2185,860,1064,30,23
2186,860,1063,33,24
2187,860,1059,29,22
2188,859,1053,30,23
2189,862,1049,29,23
2190,863,1047,28,22
2191,869,1045,28,22
2192,866,1041,31,22
2193,869,1039,28,22
2194,872,1038,24,20
2195,873,1037,28,20
2196,880,1040,22,17
2197,881,1040,25,19
2198,885,1040,22,18
2199,891,1041,21,18
2200,896,1040,22,20
2201,898,1042,27,21
2202,905,1045,23,20
2203,913,1053,24,17
2204,915,1058,23,18
2205,921,1061,25,18
2206,929,1063,27,20
2207,939,1071,24,17
2208,945,1075,22,19
2209,947,1080,26,20
2210,952,1084,25,22
2211,954,1088,24,20
2212,953,1092,24,20
2213,949,1095,24,20
2214,943,1101,24,19
2215,936,1103,25,20
2216,929,1103,27,22
2217,919,1105,26,21
2218,905,1106,34,24
2219,895,1105,29,23
2220,883,1108,30,23
2221,872,1108,28,23
2222,861,1107,26,20
2223,851,1107,26,20
2224,843,1104,24,20
2225,832,1105,24,19
2226,823,1100,28,23
2227,818,1100,25,25
2228,811,1101,27,21
2229,806,1096,28,22
2230,807,1098,24,20
2231,804,1097,25,20
2232,806,1097,27,21
2233,797,1093,37,26
2234,818,1097,25,19
2235,818,1095,26,20
2236,826,1097,25,19
2237,838,1097,24,23
2238,842,1101,31,23
2239,850,1099,31,24
2240,859,1102,28,22
2241,863,1103,29,22
2242,866,1101,35,27
2243,873,1103,32,24
2244,877,1102,32,24
2245,877,1102,30,25
2246,879,1100,30,24
2247,880,1102,26,21
2248,872,1102,31,22
2249,866,1099,31,22
2250,861,1099,27,20
2251,854,1099,30,19
2252,843,1092,26,23
2253,830,1089,29,22
2254,822,1089,28,21
2255,810,1086,26,24
2256,797,1083,28,23
2257,785,1081,27,21
2258,774,1076,27,23
2259,760,1071,27,24
2260,747,1068,25,24
