Time	   Frame	x-pixel	    y-pixel
216.200000 3243.000000 1139.000000 1000.000000
216.266667 3244.000000 1137.000000 998.000000
216.333333 3245.000000 1136.000000 997.000000
216.400000 3246.000000 1130.000000 991.000000
216.466667 3247.000000 1127.000000 989.000000
216.533333 3248.000000 1123.000000 989.000000
216.600000 3249.000000 1119.000000 989.000000
216.666667 3250.000000 1118.000000 984.000000
216.733333 3251.000000 1119.000000 985.000000
216.800000 3252.000000 1119.000000 984.000000
216.866667 3253.000000 1119.000000 984.000000
216.933333 3254.000000 1123.000000 985.000000
217.000000 3255.000000 1127.000000 988.000000
217.066667 3256.000000 1127.000000 988.000000
217.133333 3257.000000 1130.000000 987.000000
217.200000 3258.000000 1132.000000 989.000000
217.266667 3259.000000 1135.000000 993.000000
217.333333 3260.000000 1137.000000 990.000000
217.400000 3261.000000 1142.000000 992.000000
217.466667 3262.000000 1144.000000 993.000000
217.533333 3263.000000 1146.000000 988.000000
217.600000 3264.000000 1151.000000 985.000000
217.666667 3265.000000 1154.000000 984.000000
217.733333 3266.000000 1156.000000 980.000000
217.800000 3267.000000 1159.000000 975.000000
217.866667 3268.000000 1161.000000 974.000000
217.933333 3269.000000 1165.000000 971.000000
218.000000 3270.000000 1169.000000 964.000000
218.066667 3271.000000 1173.000000 961.000000
218.133333 3272.000000 1179.000000 960.000000
218.200000 3273.000000 1180.000000 957.000000
218.266667 3274.000000 1181.000000 955.000000
218.333333 3275.000000 1184.000000 954.000000
218.400000 3276.000000 1185.000000 953.000000
218.466667 3277.000000 1186.000000 952.000000
218.533333 3278.000000 1188.000000 950.000000
218.600000 3279.000000 1189.000000 950.000000
218.666667 3280.000000 1187.000000 947.000000
218.733333 3281.000000 1186.000000 944.000000
218.800000 3282.000000 1186.000000 944.000000
218.866667 3283.000000 1183.000000 939.000000
218.933333 3284.000000 1179.000000 935.000000
219.000000 3285.000000 1176.000000 934.000000
219.066667 3286.000000 1176.000000 930.000000
219.133333 3287.000000 1172.000000 924.000000
219.200000 3288.000000 1169.000000 920.000000
219.266667 3289.000000 1166.000000 913.000000
219.333333 3290.000000 1162.000000 906.000000
219.400000 3291.000000 1156.000000 901.000000
219.466667 3292.000000 1151.000000 898.000000
219.533333 3293.000000 1144.000000 897.000000
219.600000 3294.000000 1138.000000 893.000000
219.666667 3295.000000 1133.000000 892.000000
219.733333 3296.000000 1128.000000 892.000000
219.800000 3297.000000 1122.000000 891.000000
219.866667 3298.000000 1115.000000 892.000000
219.933333 3299.000000 1109.000000 895.000000
220.000000 3300.000000 1103.000000 896.000000
220.066667 3301.000000 1095.000000 895.000000
220.133333 3302.000000 1091.000000 900.000000
220.200000 3303.000000 1088.000000 904.000000
220.266667 3304.000000 1086.000000 907.000000
220.333333 3305.000000 1083.000000 914.000000
220.400000 3306.000000 1081.000000 918.000000
220.466667 3307.000000 1079.000000 919.000000
220.533333 3308.000000 1079.000000 919.000000
220.600000 3309.000000 1078.000000 920.000000
220.666667 3310.000000 1077.000000 922.000000
220.733333 3311.000000 1075.000000 921.000000
220.800000 3312.000000 1077.000000 921.000000
220.866667 3313.000000 1079.000000 921.000000
220.933333 3314.000000 1081.000000 917.000000
221.000000 3315.000000 1084.000000 914.000000
221.066667 3316.000000 1087.000000 914.000000
221.133333 3317.000000 1086.000000 912.000000
221.200000 3318.000000 1085.000000 913.000000
221.266667 3319.000000 1085.000000 913.000000
221.333333 3320.000000 1085.000000 913.000000
221.400000 3321.000000 1081.000000 910.000000
221.466667 3322.000000 1082.000000 911.000000
221.533333 3323.000000 1080.000000 911.000000
221.600000 3324.000000 1075.000000 911.000000
221.666667 3325.000000 1072.000000 909.000000
221.733333 3326.000000 1070.000000 908.000000
221.800000 3327.000000 1065.000000 907.000000
221.866667 3328.000000 1060.000000 904.000000
221.933333 3329.000000 1058.000000 905.000000
222.000000 3330.000000 1055.000000 902.000000
222.066667 3331.000000 1052.000000 897.000000
222.133333 3332.000000 1050.000000 895.000000
222.200000 3333.000000 1049.000000 894.000000
222.266667 3334.000000 1047.000000 894.000000
222.333333 3335.000000 1046.000000 890.000000
222.400000 3336.000000 1045.000000 891.000000
222.466667 3337.000000 1045.000000 890.000000
222.533333 3338.000000 1043.000000 888.000000
222.600000 3339.000000 1044.000000 887.000000
222.666667 3340.000000 1044.000000 887.000000
222.733333 3341.000000 1045.000000 885.000000
222.800000 3342.000000 1048.000000 885.000000
222.866667 3343.000000 1054.000000 885.000000
222.933333 3344.000000 1062.000000 887.000000
223.000000 3345.000000 1069.000000 890.000000
223.066667 3346.000000 1078.000000 899.000000
223.133333 3347.000000 1085.000000 908.000000
223.200000 3348.000000 1094.000000 916.000000
223.266667 3349.000000 1105.000000 927.000000
223.333333 3350.000000 1117.000000 938.000000
223.400000 3351.000000 1126.000000 947.000000
223.466667 3352.000000 1135.000000 953.000000
223.533333 3353.000000 1144.000000 965.000000
223.600000 3354.000000 1154.000000 974.000000
223.666667 3355.000000 1162.000000 979.000000
223.733333 3356.000000 1172.000000 983.000000
223.800000 3357.000000 1179.000000 987.000000
223.866667 3358.000000 1181.000000 987.000000
223.933333 3359.000000 1189.000000 986.000000
224.000000 3360.000000 1194.000000 985.000000
224.066667 3361.000000 1197.000000 984.000000
224.133333 3362.000000 1200.000000 977.000000
224.200000 3363.000000 1203.000000 974.000000
224.266667 3364.000000 1206.000000 970.000000
224.333333 3365.000000 1205.000000 965.000000
224.400000 3366.000000 1205.000000 962.000000
224.466667 3367.000000 1204.000000 958.000000
224.533333 3368.000000 1199.000000 953.000000
224.600000 3369.000000 1194.000000 946.000000
224.666667 3370.000000 1194.000000 945.000000
224.733333 3371.000000 1194.000000 944.000000
224.800000 3372.000000 1191.000000 940.000000
224.866667 3373.000000 1192.000000 940.000000
224.933333 3374.000000 1190.000000 938.000000
225.000000 3375.000000 1188.000000 934.000000
225.066667 3376.000000 1184.000000 932.000000
225.133333 3377.000000 1181.000000 934.000000
225.200000 3378.000000 1179.000000 934.000000
225.266667 3379.000000 1175.000000 933.000000
225.333333 3380.000000 1174.000000 934.000000
225.400000 3381.000000 1174.000000 936.000000
225.466667 3382.000000 1174.000000 934.000000
225.533333 3383.000000 1176.000000 935.000000
225.600000 3384.000000 1175.000000 938.000000
225.666667 3385.000000 1169.000000 939.000000
225.733333 3386.000000 1167.000000 943.000000
225.800000 3387.000000 1166.000000 944.000000
225.866667 3388.000000 1163.000000 945.000000
225.933333 3389.000000 1159.000000 944.000000
226.000000 3390.000000 1161.000000 946.000000
226.066667 3391.000000 1161.000000 950.000000
226.133333 3392.000000 1159.000000 953.000000
226.200000 3393.000000 1158.000000 954.000000
226.266667 3394.000000 1161.000000 958.000000
226.333333 3395.000000 1160.000000 965.000000
226.400000 3396.000000 1160.000000 965.000000
226.466667 3397.000000 1161.000000 973.000000
226.533333 3398.000000 1161.000000 978.000000
226.600000 3399.000000 1157.000000 976.000000
226.666667 3400.000000 1153.000000 977.000000
226.733333 3401.000000 1153.000000 978.000000
226.800000 3402.000000 1150.000000 979.000000
226.866667 3403.000000 1146.000000 978.000000
226.933333 3404.000000 1143.000000 979.000000
227.000000 3405.000000 1142.000000 974.000000
227.066667 3406.000000 1138.000000 968.000000
227.133333 3407.000000 1138.000000 966.000000
227.200000 3408.000000 1140.000000 961.000000
227.266667 3409.000000 1138.000000 955.000000
227.333333 3410.000000 1139.000000 952.000000
227.400000 3411.000000 1141.000000 952.000000
227.466667 3412.000000 1141.000000 948.000000
227.533333 3413.000000 1144.000000 946.000000
227.600000 3414.000000 1149.000000 946.000000
227.666667 3415.000000 1153.000000 945.000000
227.733333 3416.000000 1157.000000 943.000000
227.800000 3417.000000 1160.000000 944.000000
